#Name,RA,Dec,Dist,Bmag,Jmag,Kmag,Type,av
NGC4136,182.323761,29.927591,0.1456174277,11.554,10.742,9.939,G,0.056
NGC5338,208.360519,5.207782,0.5910844555,13.72,11.703,10.893,G,0.181
NGC4485,187.629639,41.701172,0.8695388606,12.19,11.234,10.58,G,0.333
PGC170228,196.050247,-4.891069,0.9209489829,14.339,12.072,11.174,G,0.412
NGC5055,198.955536,42.029289,1.040909759,9.13,6.697,5.728,G,0.265
PGC046852,201.067581,-16.703533,1.07518525,14.224,13.424,12.851,G,0.295
NGC4244,184.373581,37.80711,1.169445104,9.83,8.948,8.11,G,0.036
NGC4659,191.122391,13.498675,1.21657627,12.956,10.271,9.411,G,0.289
NGC4802,193.956802,-12.055349,1.533661955,12.33,9.475,8.603,G,0.048
NGC4460,187.189819,44.864235,1.645079316,12.3,10.074,9.176,G,0.206
NGC4258,184.740082,47.303719,1.692218819,8.56,6.512,5.598,G,0.054
NGC5474,211.256699,53.662209,1.756501292,11.29,10.665,9.891,G,0.288
PGC041959,188.905136,12.382066,1.859356444,15.372,12.607,11.729,G,0.304
PGC1040545,201.876251,-5.777136,1.945072075,17.92,15.048,14.07,G,0.129
NGC4222,184.093842,13.307071,2.017932509,13.27,11.373,10.327,G,0.133
NGC4490,187.651535,41.643631,2.069364591,9.91,8.364,7.514,G,0.395
NGC5238,203.677078,51.613743,2.155086913,13.3,15.658,14.725,G,0.039
NGC4150,182.640228,30.401487,2.356545119,12.192,9.983,9.053,G,0.035
NGC4248,184.457932,47.409157,2.40369709,13.19,11.447,10.586,G,0.041
PGC043178,191.909302,-5.867461,2.476569942,13.936,12.493,11.772,G,0.077
NGC5194,202.469574,47.195259,2.493716783,8.68,6.517,5.601,G,0.021
NGC4526,188.512619,7.69914,2.523724016,10.441,7.546,6.552,G,0.294
NGC5195,202.498291,47.266129,2.583739486,10.53,7.361,6.402,G,0.047
NGC4594,189.997894,-11.62307,3.659958147,8.52,5.942,5.009,G,0.131
NGC4550,188.877548,12.220955,3.66424673,12.156,9.609,8.75,G,0.235
NGC0247,11.78564,-20.760401,3.750321926,8.66,8.901,8.18,G,0.101
NGC0253,11.88806,-25.288799,3.92595099,7.34,4.874,3.822,G,0.188
NGC4178,183.193512,10.865998,4.020222974,11.888,10.442,9.575,G,0.118
PGC1003283,191.96225,-8.471212,4.552130489,15.011,13.428,12.577,G,0.101
6dFJ0547191-085850,86.82943,-8.980446,4.65080229,13.096,12.64,11.231,G,0.223
NGC3034,148.96846,69.679703,4.702284662,9.15,5.881,4.691,G,0.423
NGC4531,188.566025,13.075527,5.127051725,12.275,9.801,8.906,G,0.18
IC2574,157.097839,68.41214,5.822269337,10.79,13.092,12.488,G,0.057
NGC4312,185.630661,15.53792,5.985370996,12.06,9.927,8.986,G,0.196
NGC4144,182.494171,46.45718,6.668147514,11.2,10.661,9.922,G,0.047
PGC045084,195.819733,-17.423031,6.917904128,12.74,14.361,13.333,G,0.16
ESO435-016,149.692596,-28.621906,7.943359123,13.08,11.466,10.611,G,0.072
NGC3056,148.637085,-28.298166,7.969131577,12.019,9.608,8.754,G,0.092
NGC3037,147.850021,-27.011135,8.04645041,13.25,12.464,11.66,G,0.03
NGC4328,185.833511,15.820545,8.083138721,14.08,12.567,11.723,G,0.261
NGC4571,189.234879,14.217357,8.304195808,11.75,9.708,8.883,G,0.195
ESO438-010,167.716354,-27.897566,8.420189244,14.685,13.976,13.284,G,0.042
NGC4552,188.916183,12.55604,8.566262124,11.312,7.78,6.855,G,0.28
NGC4600,190.095825,3.117687,8.677970231,12.93,10.841,9.953,G,0.126
PGC731537,215.293228,-29.250992,8.729529374,15.59,14.866,14.181,G,0.091
NGC2835,139.470444,-22.354679,8.922884901,10.252,9.221,8.364,G,0.193
NGC4286,185.175385,29.345963,9.056093406,13.918,12.208,11.296,G,0.144
NGC4308,185.486969,30.074205,9.099065289,13.957,11.587,10.742,G,0.115
ESO506-033,190.057632,-25.326925,9.262364661,13.166,10.212,9.295,G,0.096
NGC3175,153.675461,-28.872061,9.472949433,11.416,8.889,7.878,G,0.294
ESO438-017,169.323837,-27.822664,9.662059908,13.25,12.696,12.03,G,0.036
NGC0045,3.51662,-23.182091,9.765216639,11.03,10.796,10.074,G,0.088
PGC009892,39.147789,59.654591,9.851183579,7.5,6.317,4.749,G,0.031
NGC3511,165.84903,-23.08679,10.14779045,10.8,9.207,8.292,G,0.102
NGC3593,168.654175,12.81802,10.16928496,11.7,8.578,7.561,G,0.207
NGC4678,192.426514,-4.579773,10.20367654,14.72,13.511,12.835,G,0.093
NGC1592,67.420242,-27.408695,10.2122745,14.35,13.753,12.95,G,0.246
NGC0024,2.48559,-24.963131,10.61210982,11.4,10.027,9.215,G,0.042
ESO502-016,166.307266,-26.624109,10.61640945,13.74,13.813,12.943,G,0.059
NGC2337,107.55658,44.457336,10.62070908,12.465,11.48,10.668,G,0.061
NGC3274,158.072006,27.668774,10.68520437,12.919,11.912,11.116,G,0.064
NGC4504,188.072723,-7.563428,10.74110153,11.5,10.294,9.498,G,0.452
ESO572-034,179.742142,-19.029909,10.81871992,13.52,13.899,13.05,G,0.113
UGC01793,35.021851,37.911999,10.82709941,15.771,13.514,11.998,G,0.037
NGC4096,181.504837,47.478359,10.83139938,10.33,8.965,8.009,G,0.058
PGC019343,99.500671,-15.023049,10.90449984,12.05,13.032,12.312,G,0.238
NGC5949,232.002792,64.763153,10.93890073,12.4,10.279,9.425,G,0.051
NGC4818,194.203781,-8.525299,11.00340359,11,8.993,8.036,G,0.058
PGC042497,190.209732,4.525678,11.11130436,15.31,15.341,14.486,G,0.146
NGC3521,166.452469,-0.0359,11.29153507,9.4,6.831,5.868,G,0.2
NGC3513,165.942001,-23.24548,11.30873791,11.7,10.423,9.665,G,0.084
PGC078133,115.804543,-29.976734,11.34314393,13.324,11.534,10.391,G,0.467
NGC2500,120.471771,50.737099,11.46356844,12.05,10.79,9.968,G,0.475
NGC4948A,196.274094,-8.161321,11.53488525,13.83,13.285,12.379,G,0.18
NGC3344,160.879791,24.92222,11.55819144,10.45,8.508,7.7,G,0.232
NGC4980,197.292007,-28.641788,11.64851647,13.288,12.047,11.3,G,0.052
IC1727,26.87454,27.333349,11.69583078,11.43,12.835,12.039,G,0.332
ESO428-004,108.148758,-28.653879,11.73024171,13.049,10.895,10.005,G,0.146
IC2171,101.115402,-17.932413,11.79906487,12.35,12.072,11.154,G,0.128
PGC013200,53.455276,-10.250727,11.84208023,14.378,13.375,12.671,G,0.414
NGC3605,169.19426,18.017141,11.95392335,13.519,10.668,9.785,G,0.212
NGC3377,161.926666,13.98564,11.97113039,11.321,8.476,7.612,G,0.317
NGC1058,40.875237,37.341202,12.02275218,11.93,9.904,9.029,G,0.04
NGC4587,189.64769,2.657433,12.11309266,13.541,11.422,10.54,G,0.223
NGC3489,165.077454,13.901258,12.19913401,11.215,8.324,7.423,G,0.232
PGC018855,95.232231,-8.495602,12.20343615,11.86,9.677,8.412,G,0.118
ESO430-020,121.785835,-28.052334,12.28517808,13.58,10.663,9.625,G,0.044
NGC0925,36.820469,33.57888,12.39703945,10.2,9.468,8.594,G,0.034
NGC4546,188.87294,-3.793227,12.43576176,11.356,8.366,7.441,G,0.211
NGC7640,350.527435,40.845428,12.58205105,10.21,10,9.108,G,0.03
NGC3887,176.769012,-16.854641,12.69822756,11.066,9.107,8.225,G,0.338
NGC0855,33.515049,27.877171,12.70253048,12.841,11.037,10.161,G,0.051
NGC3184,154.57077,41.424381,12.73695416,10.37,8.5,7.622,G,0.029
NGC4636,190.707779,2.68778,12.75846918,10.249,7.523,6.628,G,0.22
PGC005516,22.1968,16.687975,12.86174365,14.26,14.46,13.538,G,0.14
NGC3585,168.321289,-26.75499,12.86174365,10.199,7.728,6.812,G,0.046
NGC1507,61.111477,-2.196225,12.90047258,11.8,10.864,10.011,G,0.064
NGC0959,38.09977,35.494667,12.94350538,12.389,10.949,10.048,G,0.023
