  field   metric                    g_cad                    r_cad          RA      Dec     Ebv          l          b        phi      theta   Entry
    245      1.0       2.9267130000007455       2.9267130000007455     1.16039   -24.25    0.03     48.038   -79.5376   350.8741   -22.5923     244
    246      1.0       2.9161805999974604       2.9161805999974604     8.55346   -24.25    0.02    75.6123   -85.4187    357.526   -25.5164     245
    247      1.0        2.937054399997578        2.937054399997578    15.94654   -24.25    0.03   170.3877   -85.4187     4.3348   -28.4551     246
    248      1.0        2.956736149997596        2.956736149997596    23.33961   -24.25    0.01    197.962   -79.5376      11.35   -31.3667     247
    249      1.0       2.9568112999986624       2.9568112999986624    30.73268   -24.25    0.01   206.4267   -73.0847    18.6242   -34.2058     248
    250      1.0       2.9324247000004107       2.9324247000004107    38.12575   -24.25    0.03   211.1456   -66.5393    26.2102    -36.923     249
    251      1.0         2.94379630000185         2.94379630000185    45.51882   -24.25    0.02   214.5826   -59.9766    34.1576   -39.4638     250
    252      1.0       2.9358680000004824       2.9358680000004824    52.91189   -24.25    0.02   217.4613   -53.4229    42.5058   -41.7698     251
    253      1.0         2.97273149999819         2.97273149999819    60.30496   -24.25    0.05   220.0759   -46.8932    51.2759   -43.7788     252
    254      1.0       2.9792708000022685       2.9792708000022685    67.69804   -24.25    0.04   222.5746   -40.3993    60.4605   -45.4285     253
    255      1.0       2.9584490999986883       2.9584490999986883    75.09111   -24.25    0.04   225.0461   -33.9525    70.0139   -46.6602     254
    256      1.0       2.9989698999997927       2.9989698999997927    82.48418   -24.25    0.03   227.5526   -27.5653    79.8473   -47.4248     255
    257      1.0       2.9330381999970996       2.9330381999970996    89.87725   -24.25    0.05   230.1444   -21.2513    89.8337   -47.6892     256
    258      1.0        2.894386600004509        2.894386600004509    97.27032   -24.25     0.1   232.8673   -15.0272    99.8228   -47.4417     257
    259      0.5       1.9477720000031695       1.9477720000031695   104.66339   -24.25    0.19   235.7669    -8.9125   109.6635   -46.6933     258
    260     0.75       0.9774363500000618       0.9774363500000618   112.05646   -24.25    0.52   238.8922    -2.9315   119.2278   -45.4765     259
    261     0.75       0.9770833000002312       0.9770833000002312   119.39571   -24.25    0.17   242.2711     2.8444   128.3601    -43.853     260
    262     0.25        5.488061350002681        5.488061350002681   126.68114   -24.25     0.1   245.9562     8.3828   137.0225   -41.8886     261
    263      1.0       2.9980902999959653       2.9980902999959653   133.96657   -24.25     0.1   250.0365    13.6826   145.2747   -39.6326     262
    264      1.0       2.9987905000016326       2.9987905000016326     141.252   -24.25    0.14   254.5833    18.6889   153.1354   -37.1444     263
    265      1.0       2.9984027999998943       2.9984027999998943   148.53743   -24.25    0.05    259.671    23.3339   160.6416   -34.4804     264
    266      1.0       2.9901851499962504       2.9901851499962504   155.82286   -24.25    0.06   265.3694    27.5358   167.8399   -31.6928     265
    267      1.0          2.9646758999952          2.9646758999952   163.10829   -24.25    0.05   271.7302    31.1981   174.7809   -28.8297     266
    268      1.0        2.957696699995722        2.957696699995722   170.39371   -24.25     0.1   278.7661    34.2135   181.5151   -25.9349     267
    269      1.0        2.965763899999729        2.965763899999729   177.67914   -24.25    0.05   286.4266    36.4719   188.0903   -23.0487     268
    270      1.0        2.979606450000574        2.979606450000574   184.96457   -24.25     0.1   294.5772    37.8741   194.5505   -20.2087     269
    271     0.25        6.477309050002077        6.477309050002077      192.25   -24.25    0.07      303.0      38.35   200.9351   -17.4501     270
    272      1.0       2.9861575000031735       2.9861575000031735   199.53543   -24.25    0.12   311.4228    37.8741   207.2786   -14.8063     271
    273      1.0       2.9692129000031855       2.9692129000031855   206.82086   -24.25    0.08   319.5734    36.4719   213.6103   -12.3091     272
    274      1.0       2.9465509000001475       2.9465509000001475   214.10629   -24.25    0.09   327.2339    34.2135   219.9542    -9.9892     273
    275      1.0       2.9588310000035563       2.9588310000035563   221.39171   -24.25     0.1   334.2698    31.1981   226.3285    -7.8756     274
    276      1.0       2.9578645500041603       2.9578645500041603   228.67714   -24.25    0.12   340.6306    27.5358    232.746    -5.9958     275
    277      1.0        2.962604200001806        2.962604200001806   235.96257   -24.25    0.22    346.329    23.3339   239.2138    -4.3751     276
    278      1.0       2.9580034499995236       2.9580034499995236     243.248   -24.25    0.18   351.4167    18.6889   245.7331    -3.0363     277
    279      1.0       3.0232060000053025       3.0232060000053025   250.53343   -24.25    0.39   355.9635    13.6826   252.2998    -1.9989     278
    280      1.0       2.9798726000008173       2.9798726000008173   257.81886   -24.25    0.35     0.0438     8.3828   258.9052    -1.2786     279
    281      0.5       1.9377082999999402       1.9377082999999402   265.10429   -24.25    0.67     3.7289     2.8444   265.5367    -0.8865     280
    282      0.5        1.967592600001808        1.967592600001808   272.44354   -24.25    1.71     7.1078    -2.9315    272.228    -0.8296     281
    283      1.0        3.003234949999751        3.003234949999751   279.83661   -24.25    0.23    10.2331    -8.9125   278.9629    -1.1162     282
    284      1.0       2.9995834000001196       2.9995834000001196   287.22968   -24.25    0.14    13.1327   -15.0272   285.6757    -1.7434     283
    285      1.0        3.000607649999438        3.000607649999438   294.62275   -24.25    0.12    15.8556   -21.2513   292.3523    -2.7012     284
    286      1.0       2.9468056000005163       2.9468056000005163   302.01582   -24.25    0.13    18.4474   -27.5653   298.9823    -3.9745     285
    287      1.0       2.9515277499995136       2.9515277499995136   309.40889   -24.25    0.05    20.9539   -33.9525   305.5598     -5.544     286
    288      1.0       2.9768518999990192       2.9768518999990192   316.80196   -24.25    0.06    23.4254   -40.3993   312.0848    -7.3867     287
    289      1.0       2.9357985999995435       2.9357985999995435   324.19504   -24.25    0.05    25.9241   -46.8932   318.5629    -9.4769     288
    290      1.0        2.936493050005083        2.936493050005083   331.58811   -24.25    0.04    28.5387   -53.4229    325.006   -11.7863     289
    291      1.0       2.9328414000010525       2.9328414000010525   338.98118   -24.25    0.02    31.4174   -59.9766   331.4321   -14.2849     290
    292      1.0       2.9572916999968584       2.9572916999968584   346.37425   -24.25    0.02    34.8544   -66.5393   337.8648   -16.9411     291
    293      1.0       2.9635994999989634       2.9635994999989634   353.76732   -24.25    0.02    39.5733   -73.0847   344.3338   -19.7217     292
    294      1.0       2.9258218000031775       2.9258218000031775     1.62711   -17.05    0.03    77.3221   -75.7386   354.5176   -16.2488     293
    295      1.0        2.915682900002139        2.915682900002139     8.70904   -17.05    0.02   104.7265   -79.1454     0.9812   -19.0622     294
    296      1.0       2.9283448999995016       2.9283448999995016    15.79096   -17.05    0.02   141.2735   -79.1454     7.5583   -21.8699     295
    297      1.0        2.917384199998196        2.917384199998196    22.87289   -17.05    0.02   168.6779   -75.7386    14.2864   -24.6344     296
    298      1.0       2.9552431000047363       2.9552431000047363    29.95482   -17.05    0.03   184.3543   -70.6524    21.2035   -27.3161     297
    299      1.0       2.9337615500007814       2.9337615500007814    37.03675   -17.05    0.03   193.8575   -64.8952    28.3456   -29.8726     298
    300      1.0        2.924270899995463        2.924270899995463    44.11868   -17.05    0.04   200.3449   -58.8462    35.7446   -32.2593     299
    301      1.0       2.9013773500009847       2.9013773500009847    51.20061   -17.05    0.07   205.2449   -52.6582    43.4241   -34.4295     300
    302      1.0       2.9190855999986525       2.9190855999986525    58.28254   -17.05    0.04   209.2468   -46.4031    51.3955   -36.3353     301
    303      0.5       1.9943576000005123       1.9943576000005123    65.36446   -17.05    0.04   212.7177   -40.1204    59.6521   -37.9294     302
    304      0.5        1.951932800002396        1.951932800002396    72.44639   -17.05    0.08    215.873   -33.8354    68.1664   -39.1681     303
    305      0.5        2.000503449999087        2.000503449999087    79.52832   -17.05    0.07   218.8512    -27.567    76.8868   -40.0138     304
    306      0.5        2.061828700003389        2.061828700003389    86.61025   -17.05    0.11     221.75   -21.3312    85.7405   -40.4392     305
    307      1.0         2.92708914999821         2.92708914999821    93.69218   -17.05    0.18   224.6452   -15.1437    94.6391   -40.4299     306
    308      1.0         2.98339119999946         2.98339119999946   100.77411   -17.05    0.48   227.6018    -9.0209   103.4889   -39.9861     307
    309     0.75       0.9884258999954909       0.9884258999954909   107.85604   -17.05    1.12   230.6802    -2.9817   112.2019    -39.123     308
    310     0.75       0.9571875000037835       0.9571875000037835   114.91235   -17.05    0.13   233.9298     2.9306   120.6757   -37.8735     309
    311      1.0        2.956990799997584        2.956990799997584   121.94304   -17.05    0.08   237.4136     8.6904   128.8629   -36.2791     310
    312      1.0        2.937922499997512        2.937922499997512   128.97374   -17.05    0.07   241.2152    14.2859   136.7684   -34.3791     311
    313      1.0        2.929508050001459        2.929508050001459   136.00443   -17.05    0.05   245.4169    19.6751   144.3864   -32.2196     312
    314     0.25      0.05035879999923054      0.05035879999923054   143.03513   -17.05    0.06   250.1122    24.8043   151.7282   -29.8474     313
    315     0.75       0.5389699500010465       0.5389699500010465   150.06583   -17.05    0.06   255.4049    29.6049    158.817   -27.3084     314
    316      1.0       2.9919907500006957       2.9919907500006957   157.09652   -17.05    0.06   261.4018    33.9903   165.6841   -24.6462     315
    317      1.0       2.9829629000014393       2.9829629000014393   164.12722   -17.05    0.04   268.1979    37.8541   172.3649   -21.9022     316
    318      1.0        2.979340250003588        2.979340250003588   171.15791   -17.05    0.09   275.8472    41.0711   178.8964   -19.1151     317
    319      1.0       2.9963426499998604       2.9963426499998604   178.18861   -17.05    0.04   284.3216    43.5058   185.3154   -16.3218     318
    320      1.0        2.977766199997859        2.977766199997859    185.2193   -17.05    0.05    293.469    45.0302   191.6571   -13.5572     319
    321      1.0       3.0127372499991907       3.0127372499991907      192.25   -17.05    0.04      303.0      45.55   197.9544   -10.8548     320
    322      1.0        2.978941000001214        2.978941000001214    199.2807   -17.05    0.08    312.531    45.0302   204.2369    -8.2469     321
    323      1.0       2.9607407999938005       2.9607407999938005   206.31139   -17.05    0.08   321.6784    43.5058   210.5307    -5.7649     322
    324      1.0       2.9182986999949208       2.9182986999949208   213.34209   -17.05    0.08   330.1528    41.0711   216.8577    -3.4391     323
