# ID RA Dec
403.A    03:17:24.47  -04:12:00.0
403.B    03:17:26.34  -01:06:00.0
403.C    03:29:50.48  -04:12:00.0
403.D    03:29:50.48  -01:06:00.0
403.E    03:42:16.48  -04:12:00.0
403.F    03:42:14.62  -01:06:00.0
415.A    08:55:30.78  -05:57:00.0
415.B    08:55:30.78  +00:39:00.0
415.C    09:08:43.62  -05:57:00.0
415.D    09:08:43.62  +00:39:00.0
415.E    09:21:56.47  -05:57:00.0
415.F    09:21:56.47  +00:39:00.0
418.A    10:20:58.39  -04:12:00.0
418.B    10:21:00.26  -01:06:00.0
418.C    10:33:24.40  -04:12:00.0
418.D    10:33:24.40  -01:06:00.0
418.E    10:45:50.40  -04:12:00.0
418.F    10:45:48.54  -01:06:00.0
423.A    12:42:46.39  -04:12:00.0
423.B    12:42:48.26  -01:06:00.0
423.C    12:55:12.40  -04:12:00.0
423.D    12:55:12.40  -01:06:00.0
423.E    13:07:38.40  -04:12:00.0
423.F    13:07:36.54  -01:06:00.0
468.A    09:58:35.99  +03:00:00.0
468.B    09:58:32.77  +06:06:00.0
468.C    10:11:01.01  +03:00:00.0
468.D    10:11:01.01  +06:06:00.0
468.E    10:23:26.03  +03:00:00.0
468.F    10:23:29.24  +06:06:00.0
474.A    12:42:46.82  +01:54:34.2
474.B    12:42:46.82  +06:06:00.0
474.C    12:55:13.18  +03:00:00.0
474.D    12:55:13.18  +06:06:00.0
474.E    13:07:39.53  +03:00:00.0
474.F    13:07:39.53  +06:06:00.0
477.A    14:04:54.23  +03:00:00.0
477.B    14:04:51.01  +06:06:00.0
477.C    14:17:19.25  +03:00:00.0
477.D    14:17:19.25  +06:06:00.0
477.E    14:29:44.27  +03:00:00.0
477.F    14:29:47.48  +06:06:00.0
523.A    11:22:41.92  +10:12:00.0
523.B    11:22:41.92  +13:18:00.0
523.C    11:35:05.92  +10:12:00.0
523.D    11:35:05.92  +13:18:00.0
525.A    12:44:56.65  +12:23:28.0
525.B    12:38:28.84  +10:00:12.3
525.C    12:21:56.96  +10:00:12.3
525.D    12:17:21.02  +12:23:28.0
527.A    13:17:50.03  +10:12:00.0
527.B    13:17:41.48  +13:18:00.0
527.C    13:30:25.98  +10:12:00.0
527.D    13:30:25.98  +13:18:00.0
527.E    13:43:01.93  +10:12:00.0
527.F    13:43:10.49  +13:18:00.0
575.A    11:54:51.42  +17:24:00.0
575.B    11:54:36.80  +20:30:00.0
575.C    12:07:51.10  +17:24:00.0
575.D    12:07:51.10  +20:30:00.0
575.E    12:20:50.77  +16:34:25.1
575.F    12:21:05.40  +20:30:00.0
577.A    12:52:00.10  +17:24:00.0
577.B    12:52:00.10  +20:30:00.0
577.C    13:04:24.10  +17:24:00.0
577.D    13:04:24.10  +20:30:00.0
583.A    15:45:36.70  +17:24:00.0
583.B    15:45:36.70  +20:30:00.0
583.C    15:58:43.33  +17:24:00.0
583.D    15:58:43.33  +20:30:00.0
583.E    16:11:49.97  +17:24:00.0
583.F    16:11:49.97  +20:30:00.0
618.A    08:57:49.06  +24:36:00.0
618.B    08:57:27.02  +27:42:00.0
618.C    09:11:27.33  +24:36:00.0
618.D    09:11:27.33  +27:42:00.0
618.E    09:25:05.60  +24:36:00.0
618.F    09:25:27.63  +27:42:00.0
666.A    09:17:38.80  +31:48:00.0
666.B    09:17:07.06  +34:54:00.0
666.C    09:32:14.20  +31:48:00.0
666.D    09:32:14.20  +34:54:00.0
666.E    09:46:49.61  +31:48:00.0
666.F    09:47:21.35  +34:54:00.0
674.A    13:28:57.11  +31:48:00.0
674.B    13:28:25.37  +34:54:00.0
674.C    13:43:32.51  +31:48:00.0
674.D    13:43:32.51  +34:54:00.0
674.E    13:58:07.92  +31:48:00.0
674.F    13:58:39.66  +34:54:00.0
707.A    07:30:59.91  +39:00:00.0
707.B    07:30:14.53  +42:06:00.0
707.C    07:46:57.26  +39:00:00.0
707.D    07:46:57.26  +42:06:00.0
707.E    08:02:54.61  +39:00:00.0
707.F    08:03:39.99  +42:06:00.0
710.A    09:14:24.02  +39:00:00.0
710.B    09:13:38.64  +42:06:00.0
710.C    09:30:21.37  +39:00:00.0
710.D    09:30:21.37  +42:06:00.0
710.E    09:46:18.72  +39:00:00.0
710.F    09:47:04.10  +42:06:00.0
719.A    14:24:36.33  +39:00:00.0
719.B    14:23:50.95  +42:06:00.0
719.C    14:40:33.68  +39:00:00.0
719.D    14:40:33.68  +42:06:00.0
719.E    14:56:31.03  +39:00:00.0
719.F    14:57:16.41  +42:06:00.0
749.A    08:27:12.83  +46:12:00.0
749.B    08:26:06.82  +49:18:00.0
749.C    08:45:07.75  +46:12:00.0
749.D    08:45:07.75  +49:18:00.0
749.E    09:03:02.67  +46:12:00.0
749.F    09:04:08.68  +49:18:00.0
Virgo.A  12:30:49.42  +12:23:28.0
Virgo.B  12:28:05.35  +07:52:02.1
364.A    09:10:42.60  -11:24:00.0
364.B    09:10:42.60  -08:18:00.0
364.C    09:23:06.60  -11:24:00.0
364.D    09:23:06.60  -08:18:00.0
364.E    09:35:30.60  -11:24:00.0
364.F    09:35:30.60  -08:18:00.0
365.A    09:38:49.91  -11:24:00.0
365.B    09:38:57.01  -08:18:00.0
365.C    09:51:28.89  -11:24:00.0
365.D    09:51:28.89  -08:18:00.0
365.E    10:04:07.86  -11:24:00.0
365.F    10:04:00.76  -08:18:00.0
527.E    13:42:42.02 +10:12:00.0
527.F    13:42:42.02 +13:18:00.0
632.A    15:55:01.06 +24:36:00.0
632.B    15:55:01.06 +27:42:00.0
632.C    16:08:49.89 +24:36:00.0
632.D    16:08:49.89 +27:42:00.0
632.E    16:22:38.73 +24:36:00.0
632.F    16:22:38.73 +27:42:00.0
679.A    16:02:31.89 +32:13:20.45
679.B    16:02:31.89 +35:19:20.45
679.C    16:17:22.55 +32:13:20.45
679.D    16:17:22.55 +35:19:20.45
679.E    16:32:13.22 +32:13:20.45
679.F    16:32:13.22 +35:19:20.45
